id,name,measurement_unit
1,Сахар,г
2,Соль,г
3,Яица,шт
4,Молоко,мл
5,Говядина,г
6,Свинина,г
7,Бекон,г
8,Ветчина,г
9,Заяц,г
10,Колбаса вареная,г
11,Колбаса сырокопченая,г
12,Сервелат,г
13,Кролик,г
14,Кролик,г
15,Индейка,г
16,Телятина,г
17,Баранина,г
18,Курица,г
19,Утка,г
20,Фарш говяжий,г
21,Фарш свиной,г
22,Фарш куриный,г
23,Фарш индейки,г
24,Фарш домашний,г
25,Белые грибы,г
26,Вешенки,г
27,Шампиньоны,г
28,Лисички,г
29,Грибы иноки,г
30,Маслята,г
31,Опята,г
32,Артишоки,г
33,Баклажаны,г
34,Бамия,г
35,Батат,г
36,Белокочанная капуста,г
37,Брюква,г
38,Горох,г
39,Зеленый горошек,г
40,Имбирь,г
41,Кабачки,г
42,Картофель,г
43,Морковь,г
44,Лук репчатый,г
45,Лук красный,г
46,Петрушка,г
47,Укроп,г
48,Рис,г
49,Гречка,г
50,Сливочное масло,г
51,Подсолнечное масло,г
52,Оливковое масло,г
53,Фасоль,г
54,Чеснок,г
55,Сметана,г
